cleaned_comment,sentiment_score,sentiment
great watch,0.6249,positive
question insert host rna use ca protein also second question add host rna dna first place rna ribose dna deoxyribose also rna uracil nitrogenous base instead thymine,0.0,neutral
thank good sir really helped presentation,0.6597,positive
filling gap evidence showed regarding allegation stop misleading people,-0.5994,negative
watched half dozen video far crispr video helped piece everything together enough detail thank much,0.3612,positive
awesome videooooooo loved,0.8402,positive
guess could used bad weapon good healing,-0.4215,negative
shivin sir,0.0,neutral
hate science,-0.5719,negative
love video handsome,0.8126,positive
transformed weaponized version eugenics specifically create altered version plague undesirable population hope dont use,0.2732,positive
god love,0.743,positive
great video,0.6249,positive
wow,0.5859,positive
always come back video need refresher crispr video thank,0.3612,positive
thank discussion,0.3612,positive
video helped every major step academic career st year medical student still come back video help thank much,0.6369,positive
someone tell done though like machine used,0.3612,positive
clear,0.3818,positive
crisper living,0.0,neutral
blestematilor focul lui putin sa va arda nimic nu sa ramana din dracoveniile voastre spurcate,0.0,neutral
thank,0.3612,positive
year later video continue saving life degree incredible explanation please love god hope future generation never take post,0.8885,positive
great explanation highly appreciated,0.8268,positive
good job think mistake given bacterial strain crispr sequence inserted oldest infection located farthest ca gene recent closest ca gene,0.0772,positive
thanks lot year wow,0.7717,positive
basically x men technology price come playing god half life,0.4404,positive
cambridge level biology writer come lecture rewrite book,0.0,neutral
good explanation thank sir,0.6597,positive
thank much loved every second,0.7506,positive
brilliant simple explanation,0.5859,positive
allowed invite college graduation,0.1531,positive
guy heard mitochondrion hint powerhouse cell,0.0,neutral
genetics insane dystopian future incoming,-0.4019,negative
thank helpful,0.6486,positive
crispr made way general public form sickle cell treatment limited trial believe,-0.2263,negative
stumbled across breakfast wonderful video concept explained lucidily,0.5719,positive
come rna binding dna shouldnt dna bind bacteriophage dna,0.0,neutral
gracias ni un solo video con el que pudiese entenderlo ahora ha quedado clarsimo,0.34,positive
super helpful,0.7717,positive
helpful,0.4215,positive
would target cell otherwise gene want silenced would removed cell targeted,0.0772,positive
im sure im exactly work beautiful job explaining base concept relatively unscientific shlub like thanks,0.891,positive
inevitably lead people getting cancer using via gene mutation radiation ct scanner adjuvant shot enough customer allopathic medicine industry,-0.6597,negative
ahh ya totally get thanks simple explanation much clearer,0.4902,positive
teacher adviced entire class watch video better understanding see saved essay man thank,0.802,positive
amazing,0.5859,positive
soooo helpful thank,0.6486,positive
biology student helped much amazing video,0.5859,positive
hey question hope still reading replying comment cure disease whose gene every cell body replace insert new gene replacing old one causing disease cell body,0.4404,positive
many played jenga know basic displacement human complete understanding genetics true explanation junk dna opinion science generic run like business may theory lacking research application red tape snipped prematurely hasten contract deal scary shit,-0.0258,neutral
honestly beautiful ill need rewatch tho,0.6249,positive
great lecture simplicity explained thanks,0.7906,positive
typically never leave comment video really taught entire lecture lecture video teracher assigned shes bad teacher actually like somehow everything get shaky concept crispr system didnt know feel though illegal knowledge government try take point life,-0.747,negative
thanks,0.4404,positive
loved,0.5994,positive
legend,0.0,neutral
first year med student thank,0.3612,positive
grade biology education though fairly smart ive taken interest thing genetic modification general easy follow anyone recommend advanced thing though go cutting gene detail chemical etc detail adding new dna,0.891,positive
helix superbug cure use crisp cut superbug short chain manageable size short chain bug drug known u mioa,-0.2732,negative
mega helpful thanks lot,0.6908,positive
best video topic,0.6369,positive
wow amazinf really hope get study kinda stuff university,0.7902,positive
bioformatics program internship instructor took hour,0.0,neutral
crispr potential life extension,0.0,neutral
