cleaned_comment,sentiment_score,sentiment
explain little human stop happened earth numerous time past understand end ice age right guess happens climate change get hot know age dinosaur permanent ice right unbelievably stupid arrogant suggest stop natural cycle hot cold climate change already happened multiple time,-0.8183,negative
world wide know university processing oil since year ago around world wide industrial revolution since year ago around world wide humanity know point critical mother earth planet study investigation university amazon peru loreto latin america city iquitos,-0.1531,negative
stop child using car go vegan,-0.296,negative
natural evolution stop great dying happened happen,0.6597,positive
sagejkinyzvianako xanesa ceka ybeny kiseknky izrebnekyce xonkonga begansinsatejena ta ybeansizoaba yjeapen,0.0,neutral
huge refrigerator solution,0.5574,positive
hopefully true human being die planet restored beautiful place,0.7845,positive
nitrogen n oxygen make earth atmosphere meanwhile muchdreaded increase co last year whopping thats rightco time less abundant n idea tiny trace gas singlehandedly steering climate ship based solely motion atmosphere bit stretch say least motion earth atmphsere wind convection used jusitify co climate change theory going talk thermodynamicsat room temperature molar heat capacity constant pressure cp roughly jmolk n co yes co hold bit heat nothing scream planetary climate changed experience today motion atomsphere make difference another obtuse justification ostesible co theory microwave oven analogy used justify co theory climate change screen door volume microwave oven used justify co causing climate change door screen composed solid matter yet co obviously gas bake apple pie using orange real culprit thermodynamic pollutionexcess heat dumped environment human activity instead focusing conversation keep circling around co like kind atmospheric supervillain apparently applying basic common sense radical move today climate discourse,0.8384,positive
hmmmmm,0.0,neutral
insightful wellresearched film move beyond problem highlight powerful effort made avert disaster crucial reminder sustainable future possible act,-0.5106,negative
eats palm oil st century people strongest trans fat body need year cleanse weapon mass destruction,-0.4588,negative
dwdocumentary plenty world bank report geologist geophysical analysis report across globe show abundant empty zone aquifer various layer earth surface rainwater could channelled filled could help cool earth buffering earth extremely high core temperature surface crust important objective geologist detect earth layer porous hold crore liter water water stored depth evaporate,0.6124,positive
people know glacier either exist century ago much smaller got bigger little ice age returning normal,0.0,neutral
need know understand much trouble plant alive year ago starting decay today bad many think fake news,-0.8555,negative
north pole used lush filled life way earth wanted go back like earth feel like going back good old day human making mad who going stop,0.3612,positive
feel like thing happened way well there difference global warming knowing recording thing long ago scientist antarctica absolutely laugh warming concern know one personally talk always laugh say colder year natural cooling heating cycle figured way keep political agenda money fear know,0.9167,positive
shame totally date current change u determined use even coal better remove video like become dated quickly world change even quicker,0.5719,positive
let preserve planet conserving energy reducing pollution protecting nature prevent global warming stop devastating impact climate changefor sake future generation,-0.5719,negative
there village called bondo kenya,0.0,neutral
maybe government stop trying manipulate climate via geoengineering china stop burning ton coal make ev starter,-0.5267,negative
something reverse stopping cloud seeding theyll try use cloud seeding regulate weather pattern,-0.1531,negative
people didnt think climate change would bad,-0.5423,negative
wow beautiful video,0.8271,positive
idea use public transport eat plantbased fly every three four year try leave decently sized appartment eg max sqm three people easily said comfort exploitative lap luxury called switzerland apology,0.5994,positive
buy nice ac unit stay inside problem solved,0.296,positive
climate always changing past lower higher temp co level panic transfering money poor rich,-0.6124,negative
global warming,0.1531,positive
climate changing billion year precious little u latest crisis du jour stir mouth breather,-0.0314,neutral
global warming threat earth environmental issue however good news coming god kingdom put end global warming climate change soon jw,0.6597,positive
solution like one stomach problem eating pizza die definatly continues eating continues eating pizza added bottle coke think digest instead stop eating replace green vegitables ultimatly everyone suffer cunsuming nature rich think survive without harm point ac doesnt work drought every flood climate increase rapid pace,0.0644,positive
need make presentation abot school,0.0,neutral
cant determine thecorrect temperature earth cant determine warming good bad climate change scientific scam,-0.8765,negative
really enjoyed documentary present compelling point however cant help think solution discussed might practical everyone like going completely green seems ideal people lowerincome area cant afford solar panel electric car feel like privilege issue often get overlooked,0.9069,positive
walk way germany equipment fly plane like gretta kerry,0.3612,positive
give example humanity solved issue successfully cant hardly recall anything,0.6486,positive
like human deed biggest issue nobody talking tilted earth,0.3612,positive
propaganda purest form poor africa first foremost consider stop population growth take care basic issue waste management europe committing conscious suicide european family destroyed cost new green deal country like usa china waiting,-0.8481,negative
interesting propaganda sahara green antarctica green earth ever changing sun go cycle hot cold great way climate scientist earn money though imagine many left unemployed figured went ice age single car existed exist earth warmed,0.7845,positive
great video really informative well put together cant help wonder though focus much tech solution neglecting importance personal lifestyle change mean seems like keep looking quick fix instead making real sacrifice daily life think,0.8325,positive
grim reality,-0.5719,negative
one volcano thats man worst year amount last year last year told truth would destroy order going tell beyond faked youre dam thing stop give u year thats optimistic,-0.7351,negative
nature balance tilted taking u scale,0.0,neutral
serious need wake,-0.0772,negative
documentary climate change without mentioning corporate greed who damage overpopulation resulting indentured servitude fast consumerism documentary incomplete im generous,0.3309,positive
complete stupidity banned driving car india africa vietnam thailand third world country continue burn tire plastic polluting river chemical oil stop suffer,-0.891,negative
please please please work program climate control change okay mr mone phomphak dated sunday th teacher year mr mone phomphak,0.7783,positive
rich poor answer nation world need join forcescooperate usa leadership thank mr mone phomphak,0.6369,positive
climate change predicted bible year ago,0.0,neutral
richer indicates job intention others earn sum establishing fossil fueled industry earth ignore environmental issue educated people advise result show many consequence like poorer community suffer strongly wasting lot food land could produce desire food essential survive life moreover temperature hit sector activist try reach voice policy maker politician leader well industrialist key save life year come un prime body awareness human stop use fossil fuel shifting renewable energy furthermore university offer student scholarship study related subject activity could tackle situation thanks,0.7717,positive
metal company tmc going inking deal u govt soon start mining polymetallic nodule ocean floor united state eez well ccz trillion dollar worth nickel cobalt copper manganese needed energy transition largest measured nickel deposit planet norid area ccz contract tmc fewer environmental impact harvesting polymetallic nodule clearcutting rainforest move fast transition fossil fuel renewables battery,0.7845,positive
go heaven poor money power help stop global warming,0.3182,positive
